"","Date","Game","Attendance","Team","Rank","GB","Day","Streak","WinPitch","LosePitch","Location","Year","Month","Weekday","Weekend"
"1",2004-04-12,7,40483,"PIT",6,2,"D",1,"Benson","Maddux","Home",2004,4,"Monday",FALSE
"2",2004-04-14,8,38968,"PIT",3,1.5,"D",-1,"Clement","Vogelsong","Home",2004,4,"Wednesday",FALSE
"3",2004-04-15,9,39450,"PIT",3,0.5,"D",1,"Zambrano","Fogg","Home",2004,4,"Thursday",FALSE
"4",2004-04-16,10,40173,"CIN",2,0.5,"D",2,"Borowski","Graves","Home",2004,4,"Friday",FALSE
"5",2004-04-17,11,40607,"CIN",3,1.5,"D",3,"Wagner","Wood","Home",2004,4,"Saturday",FALSE
"6",2004-04-18,12,39624,"CIN",4,2.5,"D",-1,"Jones","Borowski","Home",2004,4,"Sunday",FALSE
"7",2004-04-19,13,39057,"CIN",4,2,"D",-2,"Clement","Haynes","Home",2004,4,"Monday",FALSE
"8",2004-04-23,16,38862,"NYM",1,0,"D",3,"Maddux","Seo","Home",2004,4,"Friday",FALSE
"9",2004-04-24,17,39043,"NYM",1,0,"D",4,"Wood","Yates","Home",2004,4,"Saturday",FALSE
"10",2004-04-25,18,38635,"NYM",1,-1,"D",5,"Clement","Leiter","Home",2004,4,"Sunday",FALSE
"11",2004-05-04,26,38942,"ARI",2,1,"N",1,"Sparks","Mitre","Home",2004,5,"Tuesday",FALSE
"12",2004-05-05,27,38902,"ARI",2,2,"N",-1,"Daigle","Wood","Home",2004,5,"Wednesday",FALSE
"13",2004-05-06,28,38169,"ARI",2,2,"D",-2,"Clement","Dessens","Home",2004,5,"Thursday",FALSE
"14",2004-05-07,29,37307,"COL",2,2,"D",1,"Zambrano","Estes","Home",2004,5,"Friday",FALSE
"15",2004-05-08,30,39546,"COL",2,2,"D",2,"Jennings","Maddux","Home",2004,5,"Saturday",FALSE
"16",2004-05-09,31,39155,"COL",2,2,"D",-1,"Rusch","Fassero","Home",2004,5,"Sunday",FALSE
"17",2004-05-18,38,38958,"SFG",2,1,"N",4,"Schmidt","Clement","Home",2004,5,"Tuesday",FALSE
"18",2004-05-19,39,39047,"SFG",2,1,"N",-1,"Borowski","Brower","Home",2004,5,"Wednesday",FALSE
"19",2004-05-20,40,39349,"SFG",2,1,"D",1,"Herges","Borowski","Home",2004,5,"Thursday",FALSE
"20",2004-05-21,41,39298,"STL",2,1,"D",-1,"Carpenter","Mitre","Home",2004,5,"Friday",FALSE
"21",2004-05-22,42,40131,"STL",1,0,"D",-2,"Rusch","Williams","Home",2004,5,"Saturday",FALSE
"22",2004-05-23,43,40090,"STL",1,0,"N",1,"Clement","Morris","Home",2004,5,"Sunday",FALSE
"23",2004-05-31,50,39380,"HOU",2,2.5,"D",1,"Maddux","Oswalt","Home",2004,5,"Monday",FALSE
"24",2004-06-01,51,38667,"HOU",4,3.5,"N",2,"Miceli","Farnsworth","Home",2004,6,"Tuesday",FALSE
